,_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
20,0ea134b1f163fdbef419fa243c05702b,1-baa2f3670a243db32a41f580568fc9e1,2019-5-12,República,-23.5436,-46.6434,108978,38,51,32,21,43,4,32,15,NORMAL,6972
21,0ea134b1f163fdbef419fa243c058623,1-f9d6dd12fdb1317601647bde70ebb74e,2018-11-5,Higienópolis-Mackenzie,-23.5488,-46.6519,91896,75,22,65,33,19,24,17,28,NORMAL,7505
22,0ea134b1f163fdbef419fa243c05c7ad,1-2af5c320564b3f4b92a03d4f02d89c5a,2018-11-22,Higienópolis-Mackenzie,-23.5488,-46.6519,89747,86,21,7,20,30,17,36,43,NORMAL,7522
23,0ea134b1f163fdbef419fa243c05e5e5,1-7047cadedf8b148c19567147e85a8d49,2018-12-17,Higienópolis-Mackenzie,-23.5488,-46.6519,91646,28,57,39,32,11,20,20,33,NORMAL,7547
24,0ea134b1f163fdbef419fa243c06358a,1-bbeb077b78f8f2d8461086f578538d8c,2019-1-19,Higienópolis-Mackenzie,-23.5488,-46.6519,90422,69,61,10,43,43,8,22,26,NORMAL,7579
25,0ea134b1f163fdbef419fa243c064d60,1-a00091313d663ceb9bd7f71dc963d495,2019-8-17,República,-23.5436,-46.6434,109101,24,56,24,5,41,14,26,41,REABASTECER,7067
26,0ea134b1f163fdbef419fa243c066064,1-b19262e92d95a4e44e45740c6b062df7,2019-9-25,República,-23.5436,-46.6434,107905,86,8,30,22,14,4,3,12,REABASTECER,7105
27,0ea134b1f163fdbef419fa243c0697f6,1-32dd1a6b4442e6d2b0a5728394d6c602,2019-10-22,República,-23.5436,-46.6434,110456,6,42,55,17,37,41,31,37,REABASTECER,7132
28,0ea134b1f163fdbef419fa243c06c00a,1-0834c90b93ec336c525bc34f643f36cc,2019-5-5,Higienópolis-Mackenzie,-23.5488,-46.6519,90727,52,19,24,12,33,21,33,26,NORMAL,7685
29,0ea134b1f163fdbef419fa243c06e584,1-3f585919f60cfdbcaf8eeebd08e98d2b,2019-12-24,República,-23.5436,-46.6434,110173,33,15,65,5,23,40,43,37,NORMAL,7194
30,0ea134b1f163fdbef419fa243c072f89,1-ee74f6bed96147bfb0066038e8f90c47,2018-1-30,Higienópolis-Mackenzie,-23.5488,-46.6519,90127,55,21,60,33,16,23,14,43,NORMAL,7230
31,0ea134b1f163fdbef419fa243c07664a,1-3f18d675af6760d4e0c943df100f2d6e,2019-10-29,Eucaliptos,-23.61,-46.6686,23911,6,65,17,27,7,35,16,23,NORMAL,16499
32,0ea134b1f163fdbef419fa243c0791c8,1-fa3a19bd88f4cb59a211fece7ac4dc48,2018-4-26,Higienópolis-Mackenzie,-23.5488,-46.6519,91194,48,65,10,14,9,43,31,39,NORMAL,7316
33,0ea134b1f163fdbef419fa243c07bd8e,1-e6798c953906a6dd8fb448b57b2dc479,2019-11-1,Higienópolis-Mackenzie,-23.5488,-46.6519,90544,54,29,8,9,20,5,43,23,REABASTECER,7861
34,0ea134b1f163fdbef419fa243c07bfd3,1-1939d512caa425b34bd5c56e94bba427,2019-11-4,Higienópolis-Mackenzie,-23.5488,-46.6519,90231,26,10,47,38,6,38,31,10,NORMAL,7864
35,0ea134b1f163fdbef419fa243c08095d,1-16fa81e2c542690379f184b3c40d4e97,2018-1-13,Faria Lima,-23.5675,-46.6929,52827,53,63,45,6,31,43,39,38,NORMAL,7933
36,0ea134b1f163fdbef419fa243c083201,1-854a1473935f3214810ae1cdef5e43ca,2018-1-29,Faria Lima,-23.5675,-46.6929,54527,86,41,65,14,43,7,17,24,NORMAL,7949
37,0ea134b1f163fdbef419fa243c085c37,1-7ceffdf5d26107236aa8280acacc68f0,2018-9-9,Higienópolis-Mackenzie,-23.5488,-46.6519,93237,36,30,65,35,32,42,35,19,NORMAL,7449
38,0ea134b1f163fdbef419fa243c08e1e4,1-05779b3c5be9c19ab68142bf561c938b,2018-11-13,Higienópolis-Mackenzie,-23.5488,-46.6519,91148,86,28,10,7,30,9,29,33,NORMAL,7513
39,0ea134b1f163fdbef419fa243c08e37e,1-fc2c9537b5de8106d0095e4c44a8bb8e,2018-6-20,Moema,-23.5489,-46.6388,17240,67,36,32,40,41,3,34,5,REABASTECER,16730
40,0ea134b1f163fdbef419fa243c0908cc,1-0fd662ef85d8fae5a47eece3b6fe6429,2018-7-13,Moema,-23.5489,-46.6388,18170,16,47,29,8,27,23,18,5,REABASTECER,16753
41,0ea134b1f163fdbef419fa243c091778,1-194677681168c24afaf6aab726c5f875,2018-7-23,Moema,-23.5489,-46.6388,20401,86,63,23,25,31,39,23,43,NORMAL,16763
42,0ea134b1f163fdbef419fa243c098b1d,1-e684f0dbe329aa71799cac7451d04abf,2019-4-21,Higienópolis-Mackenzie,-23.5488,-46.6519,93569,9,34,53,14,14,20,35,43,NORMAL,7671
43,0ea134b1f163fdbef419fa243c0a14b8,1-51aa60148bbb1e062983fddf73abc0fe,2018-12-29,Faria Lima,-23.5675,-46.6929,52596,8,26,53,23,33,42,5,37,REABASTECER,8279
44,0ea134b1f163fdbef419fa243c0a920c,1-6d1789f65679a4e5d23453ca9ce6699b,2019-9-12,Higienópolis-Mackenzie,-23.5488,-46.6519,89597,77,8,21,8,32,8,16,7,REABASTECER,7812
45,0ea134b1f163fdbef419fa243c0ac374,1-603fa24cf070a067123150884675c845,2019-3-12,Faria Lima,-23.5675,-46.6929,51288,74,50,65,17,43,43,23,10,NORMAL,8352
46,0ea134b1f163fdbef419fa243c0adc4b,1-591fcfe87b2a8d36d741176612d8d8af,2018-2-2,Paraíso,-23.57677,-46.63933,72022,44,30,47,10,37,11,18,12,NORMAL,32
47,0ea134b1f163fdbef419fa243c0ae87c,1-4da7b0eab96d1e8d3c210a0c53dbe0e9,2019-10-10,Higienópolis-Mackenzie,-23.5488,-46.6519,90780,86,9,25,32,19,21,43,26,NORMAL,7840
48,0ea134b1f163fdbef419fa243c0aeba6,1-a4aa37e7ccf66c36c5cc1ede30059d78,2018-3-5,Paraíso,-23.57677,-46.63933,70200,59,12,65,9,38,7,43,15,NORMAL,65
49,0ea134b1f163fdbef419fa243c0b0e12,1-67cca3cc47561a25cf519706e53e0b2d,2018-4-8,Paraíso,-23.57677,-46.63933,73808,86,65,42,5,22,26,34,43,NORMAL,98
50,0ea134b1f163fdbef419fa243c0b1d74,1-08ce75b08e75ecec06932bc582f6d9b9,2019-12-21,Higienópolis-Mackenzie,-23.5488,-46.6519,93316,3,65,58,12,35,18,11,28,NORMAL,7911
51,0ea134b1f163fdbef419fa243c0b2d11,1-5228d922871aaa85b63ef26e73e7495a,2019-12-26,Higienópolis-Mackenzie,-23.5488,-46.6519,93264,39,45,24,42,15,43,32,9,NORMAL,7916
52,0ea134b1f163fdbef419fa243c0b3929,1-a8ed2bfe4c9a2d0499f8f033314b221c,2019-6-17,Faria Lima,-23.5675,-46.6929,54798,39,12,21,25,12,4,43,16,NORMAL,8447
53,0ea134b1f163fdbef419fa243c0b543a,1-dbb71773691af26e28ef010a3792ca48,2019-7-8,Faria Lima,-23.5675,-46.6929,54969,17,32,50,13,5,22,9,17,NORMAL,8468
54,0ea134b1f163fdbef419fa243c0bc4f3,1-596b2ff130fd85edd60651347ff69440,2018-4-26,Faria Lima,-23.5675,-46.6929,52077,86,65,51,43,11,7,10,17,NORMAL,8036
55,0ea134b1f163fdbef419fa243c0bfd0e,1-b67520ed1a4539554470cf86d7bfd3c3,2018-10-1,Paraíso,-23.57677,-46.63933,71430,10,54,35,26,15,12,41,28,REABASTECER,271
56,0ea134b1f163fdbef419fa243c0c1837,1-3b92098fb5f8329c3453acb95c1aba27,2018-10-21,Paraíso,-23.57677,-46.63933,70469,63,23,29,43,16,43,6,32,REABASTECER,291
57,0ea134b1f163fdbef419fa243c0c5124,1-fd1e4520449c1ecfb0120e2d9a7b1b41,2018-11-9,Paraíso,-23.57677,-46.63933,73508,61,31,37,14,28,38,20,38,NORMAL,309
58,0ea134b1f163fdbef419fa243c0c79f6,1-c7be3d526b05c18599c2cc9870f34b22,2018-8-23,Faria Lima,-23.5675,-46.6929,53893,16,52,17,19,22,16,2,21,REABASTECER,8153
59,0ea134b1f163fdbef419fa243c0ca8c2,1-348d38c94c109b29b082fb52a3bd7bd3,2019-1-2,Paraíso,-23.57677,-46.63933,73614,66,42,59,17,40,40,28,40,NORMAL,362
60,0ea134b1f163fdbef419fa243c0cbb1f,1-4f344584a9f431234b6c93c045a174cf,2019-1-15,Paraíso,-23.57677,-46.63933,71279,25,26,39,24,33,42,14,34,NORMAL,375
61,0ea134b1f163fdbef419fa243c0cc000,1-787fa7e8a2a54bf5001b4144b91fc4dc,2018-3-27,Pinheiros,-23.5664,-46.703,79486,5,58,65,28,5,4,25,18,REABASTECER,8727
62,0ea134b1f163fdbef419fa243c0cf6ec,1-194c2551ed61dc9f7ea41c35d792125b,2018-5-6,Pinheiros,-23.5664,-46.703,78347,52,28,51,16,11,32,43,38,NORMAL,8766
63,0ea134b1f163fdbef419fa243c0d0489,1-888158da1334d27c393fecda6412ec11,2018-5-15,Pinheiros,-23.5664,-46.703,76793,62,53,65,36,10,4,5,4,REABASTECER,8775
64,0ea134b1f163fdbef419fa243c0d1110,1-f513a6efc24d9ddc0361903047419cd8,2018-5-23,Pinheiros,-23.5664,-46.703,78183,67,56,3,16,18,17,22,11,NORMAL,8783
65,0ea134b1f163fdbef419fa243c0d310a,1-d7fdcfc9d5329da5510489544fdf7236,2018-6-6,Pinheiros,-23.5664,-46.703,76819,38,36,49,17,12,25,15,41,NORMAL,8796
66,0ea134b1f163fdbef419fa243c0d341c,1-96d80cc5ef09c99afc1c99d036db2c90,2018-12-23,Faria Lima,-23.5675,-46.6929,52061,61,65,30,9,18,11,29,14,NORMAL,8273
67,0ea134b1f163fdbef419fa243c0d4d3d,1-e4efa267b09907c1806f67573702d82a,2018-6-29,Pinheiros,-23.5664,-46.703,76863,74,24,21,9,13,6,12,33,REABASTECER,8819
68,0ea134b1f163fdbef419fa243c0da4b4,1-307a236976fa9c0ec1c16b391d0a4db0,2019-7-8,Paraíso,-23.57677,-46.63933,70770,77,25,29,5,7,34,30,16,NORMAL,548
69,0ea134b1f163fdbef419fa243c0db8d5,1-d1b5365464f6f1e9b6f98b819f0e0bbb,2019-7-24,Paraíso,-23.57677,-46.63933,72647,9,65,50,43,33,10,17,38,NORMAL,564
70,0ea134b1f163fdbef419fa243c0dd59c,1-4c6294e49c44caefe0cf6266f1abd53d,2019-4-23,Faria Lima,-23.5675,-46.6929,54419,39,65,28,8,7,43,39,19,NORMAL,8393
71,0ea134b1f163fdbef419fa243c0ec99f,1-8d8f663f53a291f358eda88abbcdc676,2019-12-18,Paraíso,-23.57677,-46.63933,73798,55,52,19,21,22,30,36,12,NORMAL,708
72,0ea134b1f163fdbef419fa243c0f0868,1-082daf183c2f1224c27e228f2f2889c8,2018-1-26,Brigadeiro,-23.5683,-46.6482,47232,15,40,12,40,29,39,25,32,NORMAL,746
73,0ea134b1f163fdbef419fa243c0f5fda,1-fbd974255072afe924df640bee0a2b8e,2019-5-16,Pinheiros,-23.5664,-46.703,78519,54,27,3,15,43,24,43,41,REABASTECER,9136
74,0ea134b1f163fdbef419fa243c0fe297,1-02a81382129d82944522af7a2da14a82,2018-3-4,Pinheiros,-23.5664,-46.703,76875,55,12,22,12,12,29,35,19,NORMAL,8704
75,0ea134b1f163fdbef419fa243c0fee01,1-2383f83b7c8df12bbfa1bfb48e1182f8,2019-8-30,Pinheiros,-23.5664,-46.703,79546,86,48,6,34,6,40,21,17,REABASTECER,9240
76,0ea134b1f163fdbef419fa243c0ff786,1-5ea10b55ffd569b2290a29124b89daa2,2018-6-27,Brigadeiro,-23.5683,-46.6482,48809,79,61,40,43,30,25,18,37,NORMAL,897
77,0ea134b1f163fdbef419fa243c1047a0,1-508fbb59b4c9d85213bee055f39a4e7b,2019-11-18,Pinheiros,-23.5664,-46.703,79058,69,20,65,31,20,26,19,35,NORMAL,9318
78,0ea134b1f163fdbef419fa243c10b52a,1-a9c0b6f293a1c2b109418b79bd434952,2018-7-13,Pinheiros,-23.5664,-46.703,77912,19,65,3,4,8,6,43,21,REABASTECER,8833
79,0ea134b1f163fdbef419fa243c113445,1-6307320e8595ccb17fe7a987c7d0c447,2018-12-15,Brigadeiro,-23.5683,-46.6482,48438,32,29,8,28,22,38,15,9,NORMAL,1065
80,0ea134b1f163fdbef419fa243c1156b5,1-7004fa01aaf06345aac778221b3ec13d,2018-3-19,Butantã,-23.5844,-46.7252,65563,2,55,48,35,43,26,26,28,REABASTECER,9439
81,0ea134b1f163fdbef419fa243c115c96,1-26c5eb80a106272e5e00f2b57dff35cb,2018-9-26,Pinheiros,-23.5664,-46.703,78632,74,6,57,34,19,23,21,25,REABASTECER,8906
82,0ea134b1f163fdbef419fa243c11813a,1-7096e869a226e7e3f85d4c1a45567f27,2019-1-26,Brigadeiro,-23.5683,-46.6482,48681,62,48,51,31,43,30,28,20,NORMAL,1106
83,0ea134b1f163fdbef419fa243c1196db,1-e4381c624a7c6cbe9ebbe022255c1ac1,2018-5-11,Butantã,-23.5844,-46.7252,65829,29,50,56,4,43,16,43,32,REABASTECER,9491
84,0ea134b1f163fdbef419fa243c119ee0,1-6e6e06dc490e62483506f3d25beb9292,2018-5-20,Butantã,-23.5844,-46.7252,64142,28,65,60,17,2,25,6,40,REABASTECER,9500
85,0ea134b1f163fdbef419fa243c11bf76,1-0c12f4e3c1bc673492045e275b17656e,2018-6-7,Butantã,-23.5844,-46.7252,67535,35,18,65,10,25,7,18,13,NORMAL,9517
86,0ea134b1f163fdbef419fa243c11ecb6,1-0b73ce6014b7a0cb9979023839db2f8a,2019-5-3,Brigadeiro,-23.5683,-46.6482,49781,62,65,25,11,29,17,28,23,NORMAL,1203
87,0ea134b1f163fdbef419fa243c11ff3f,1-a99de4191a7950634d46f0255b97b4bf,2019-5-17,Brigadeiro,-23.5683,-46.6482,47975,6,57,50,8,16,4,12,10,REABASTECER,1217
88,0ea134b1f163fdbef419fa243c1224eb,1-f461432e28589053a1ff1fafe6da6d46,2019-3-4,Pinheiros,-23.5664,-46.703,78702,75,35,4,25,32,37,28,26,REABASTECER,9064
89,0ea134b1f163fdbef419fa243c129fa5,1-76ec39719efa104a7c37b0355801e758,2018-10-26,Butantã,-23.5844,-46.7252,64284,8,65,51,22,33,10,28,32,NORMAL,9656
90,0ea134b1f163fdbef419fa243c12b439,1-0abf67878ea65cae2c93e4ca171eb0b3,2019-5-8,Pinheiros,-23.5664,-46.703,76116,46,65,65,43,33,39,37,27,NORMAL,9128
91,0ea134b1f163fdbef419fa243c132eac,1-c6f63d794afb5a64c4c5a6dacde5a8ac,2018-12-25,Butantã,-23.5844,-46.7252,65834,48,22,28,24,7,27,41,8,NORMAL,9715
92,0ea134b1f163fdbef419fa243c134822,1-166cd7f87470af78b8d3a3931e7d14fc,2019-10-16,Brigadeiro,-23.5683,-46.6482,47229,24,38,9,43,16,24,36,11,REABASTECER,1366
93,0ea134b1f163fdbef419fa243c134993,1-ddd99917b78b2a2cc3302c8bbcb3ac17,2019-7-20,Pinheiros,-23.5664,-46.703,78031,22,41,25,29,33,16,43,4,NORMAL,9200
94,0ea134b1f163fdbef419fa243c136388,1-2d02f45bee01395c7b1b06adf0f5cb09,2019-11-28,Brigadeiro,-23.5683,-46.6482,46601,53,48,20,10,35,32,38,37,NORMAL,1408
95,0ea134b1f163fdbef419fa243c137c03,1-62ea2dbbeae97ccfd27f826e284db57d,2019-9-19,Pinheiros,-23.5664,-46.703,78806,3,54,16,11,16,19,35,31,REABASTECER,9259
96,0ea134b1f163fdbef419fa243c13b351,1-c51b036424724e416a4ec4d71ad3d461,2018-1-6,Trianon-Masp,-23.5634,-46.6544,45392,41,32,24,26,24,36,21,21,NORMAL,1446
97,0ea134b1f163fdbef419fa243c13ebb9,1-52a44f562e0c7fde5f5f748c7a6d9a2f,2019-5-24,Butantã,-23.5844,-46.7252,64773,86,51,45,13,6,5,22,6,REABASTECER,9864
98,0ea134b1f163fdbef419fa243c13f875,1-8b94915cb24c35ae40ecbf6879442947,2019-12-5,Pinheiros,-23.5664,-46.703,79561,74,56,10,27,39,43,32,43,NORMAL,9335
99,0ea134b1f163fdbef419fa243c140cb7,1-cf41ffdfce7173ab4236f680c972bb0d,2019-6-12,Butantã,-23.5844,-46.7252,65512,86,56,49,31,15,31,41,16,NORMAL,9882
100,0ea134b1f163fdbef419fa243c141e89,1-5c82a1cb2eeddd648e335b24626471d0,2018-1-9,Butantã,-23.5844,-46.7252,64529,86,10,4,22,10,31,8,11,REABASTECER,9369
101,0ea134b1f163fdbef419fa243c145604,1-1f88d09ff0b92659ea63b5511856452f,2019-7-27,Butantã,-23.5844,-46.7252,65881,86,48,55,27,43,24,31,15,NORMAL,9927
102,0ea134b1f163fdbef419fa243c148411,1-18b04dcfefe15016a719cdc08b9fef7a,2018-2-14,Butantã,-23.5844,-46.7252,67154,16,65,28,43,19,18,9,41,NORMAL,9404
103,0ea134b1f163fdbef419fa243c14910f,1-eaf731dcbb77de4d34c903d94302daac,2019-8-19,Butantã,-23.5844,-46.7252,67978,43,65,40,14,35,20,25,7,NORMAL,9949
104,0ea134b1f163fdbef419fa243c149e1f,1-22884379e225364a0415065de300346d,2019-8-30,Butantã,-23.5844,-46.7252,66320,17,56,34,25,34,34,24,8,NORMAL,9960
105,0ea134b1f163fdbef419fa243c14ac58,1-f6635e08c99df7e042f5a4489adddda6,2018-3-16,Butantã,-23.5844,-46.7252,67538,37,3,65,39,14,30,35,38,REABASTECER,9436
106,0ea134b1f163fdbef419fa243c156402,1-8b88e613dee336e181bed82293bc170b,2018-7-2,Butantã,-23.5844,-46.7252,67639,50,58,31,12,14,11,38,35,NORMAL,9542
107,0ea134b1f163fdbef419fa243c15726c,1-ad9f219f1420fb18ac02b7e6893d84e9,2018-7-18,Butantã,-23.5844,-46.7252,65475,73,31,65,37,32,14,21,22,NORMAL,9558
108,0ea134b1f163fdbef419fa243c15859e,1-6eff0ceea17be8527f3cb3c579ac2035,2018-10-17,Trianon-Masp,-23.5634,-46.6544,45375,50,38,33,5,19,42,38,28,REABASTECER,1727
109,0ea134b1f163fdbef419fa243c15da54,1-2205309b42a5ad175775c680dd67cee3,2018-3-10,Fradique Coutinho,-23.5661,-46.6841,34440,19,19,34,30,20,21,17,40,NORMAL,10150
110,0ea134b1f163fdbef419fa243c16396e,1-855f02f8c7b01316b42db87a37d6848a,2019-2-26,Trianon-Masp,-23.5634,-46.6544,44840,74,6,65,9,7,39,26,18,REABASTECER,1856
111,0ea134b1f163fdbef419fa243c164579,1-87e743016e88d18c491b19dcc8252954,2018-12-15,Butantã,-23.5844,-46.7252,64021,61,16,40,15,4,17,38,12,NORMAL,9705
112,0ea134b1f163fdbef419fa243c166197,1-fccfaec434cc669d552ac100e2910c52,2018-7-16,Fradique Coutinho,-23.5661,-46.6841,33772,86,58,25,24,24,9,43,18,NORMAL,10276
113,0ea134b1f163fdbef419fa243c167f47,1-35cd90f7cb99646b3994bd94136bdf5d,2019-2-11,Butantã,-23.5844,-46.7252,64341,20,22,45,12,34,28,10,31,NORMAL,9761
114,0ea134b1f163fdbef419fa243c16834f,1-b34af3603c0cd0a2a0fe6c6cdec9f5de,2019-2-14,Butantã,-23.5844,-46.7252,65266,78,0,28,43,19,19,43,19,REABASTECER,9764
115,0ea134b1f163fdbef419fa243c16c555,1-03960749f32c806cb475b063ab370890,2018-9-16,Fradique Coutinho,-23.5661,-46.6841,36797,32,53,10,13,38,35,8,43,NORMAL,10336
116,0ea134b1f163fdbef419fa243c16dd8c,1-f23f666d5fdb89ce4d207af4f750f574,2019-4-16,Butantã,-23.5844,-46.7252,64329,14,34,65,34,18,14,12,33,NORMAL,9826
117,0ea134b1f163fdbef419fa243c16eaaf,1-ed56c7db99d4a6c46066e55e4cc6c8eb,2019-5-16,Butantã,-23.5844,-46.7252,64755,76,27,38,31,33,26,8,43,NORMAL,9856
118,0ea134b1f163fdbef419fa243c16ef4e,1-a9908ae77716d4926d735344114834ee,2019-5-18,Butantã,-23.5844,-46.7252,67458,58,12,19,22,29,18,43,35,NORMAL,9858
119,0ea134b1f163fdbef419fa243c174fde,1-e4250154db9183c755e6f0cf6a22462e,2019-7-12,Butantã,-23.5844,-46.7252,65826,55,5,42,41,15,32,5,33,NORMAL,9912
120,0ea134b1f163fdbef419fa243c175340,1-af50fb318ea1f850fc4cbfd218105e75,2019-9-28,Trianon-Masp,-23.5634,-46.6544,42183,4,25,30,6,38,23,34,37,REABASTECER,2068
121,0ea134b1f163fdbef419fa243c17555f,1-c3f8f162950b310743d8a9d94149250e,2019-1-18,Fradique Coutinho,-23.5661,-46.6841,35588,18,36,65,33,29,19,41,26,NORMAL,10458
122,0ea134b1f163fdbef419fa243c176dd2,1-32ac645fbe84cbd83843b7dd0e30ac12,2019-10-11,Trianon-Masp,-23.5634,-46.6544,44727,48,5,65,43,31,22,26,19,NORMAL,2081
123,0ea134b1f163fdbef419fa243c1797c2,1-798e7220936c2af2145f08ccb343fd24,2019-2-29,Fradique Coutinho,-23.5661,-46.6841,34143,39,50,33,21,36,25,5,37,REABASTECER,10499
124,0ea134b1f163fdbef419fa243c17a0b4,1-d0646c0785d981f8956ca6f0d665b3c1,2019-11-28,Trianon-Masp,-23.5634,-46.6544,45049,45,18,8,10,19,43,43,38,REABASTECER,2128
125,0ea134b1f163fdbef419fa243c181956,1-9a48ccba42534dfc78507fb03c50747a,2018-2-7,Consolação,-23.5581,-46.6606,114558,86,24,1,32,31,25,11,34,REABASTECER,2197
126,0ea134b1f163fdbef419fa243c18322e,1-fd0110b9d5c418291d8f079b48011142,2019-12-5,Butantã,-23.5844,-46.7252,66914,46,31,32,21,26,14,27,43,NORMAL,10055
127,0ea134b1f163fdbef419fa243c18564f,1-d900a7b82c64ec84e2af860f15ee4b9e,2019-12-20,Butantã,-23.5844,-46.7252,65961,76,4,3,14,8,31,4,18,NORMAL,10070
128,0ea134b1f163fdbef419fa243c1895d9,1-1e1e6239c63862b4ffb1584905c809e9,2018-4-17,Consolação,-23.5581,-46.6606,113766,71,48,65,13,43,10,30,26,NORMAL,2267
129,0ea134b1f163fdbef419fa243c18a4ad,1-5b57e81b00a94fd7c6699d7abdb28309,2019-8-20,Fradique Coutinho,-23.5661,-46.6841,33658,2,17,25,39,11,15,38,43,REABASTECER,10670
130,0ea134b1f163fdbef419fa243c18b29a,1-ea7571ebbae3ef6cffbb36d94e5fddeb,2018-2-19,Fradique Coutinho,-23.5661,-46.6841,33055,51,30,60,15,20,36,19,34,NORMAL,10129
131,0ea134b1f163fdbef419fa243c18ec9b,1-e0dfd4160fbd7b420fff2dc0b9fc78d9,2019-11-6,Fradique Coutinho,-23.5661,-46.6841,35992,28,54,21,28,16,4,14,16,REABASTECER,10746
132,0ea134b1f163fdbef419fa243c1912b8,1-4ada9a5a437d87e94fd41901bd263d74,2018-5-1,Fradique Coutinho,-23.5661,-46.6841,36043,23,26,15,36,24,30,36,35,NORMAL,10201
133,0ea134b1f163fdbef419fa243c192aeb,1-d61e39d9345aa3b0d6554db214cbd50d,2018-8-10,Consolação,-23.5581,-46.6606,114452,79,62,48,9,41,26,10,16,NORMAL,2380
134,0ea134b1f163fdbef419fa243c195ee0,1-184b46660ab017821a4473d260491e05,2018-9-25,Consolação,-23.5581,-46.6606,114275,86,51,46,38,38,18,2,36,REABASTECER,2425
