,row,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
23,7547,2018-12-17,Higienópolis-Mackenzie,-235.488,-466.519,91646,28,57,39,32,11,20,20,33,NORMAL
24,7579,2019-1-19,Higienópolis-Mackenzie,-235.488,-466.519,90422,69,61,10,43,43,8,22,26,NORMAL
25,7067,2019-8-17,República,-235.436,-466.434,109101,24,56,24,5,41,14,26,41,REABASTECER
26,7105,2019-9-25,República,-235.436,-466.434,107905,86,8,30,22,14,4,3,12,REABASTECER
27,7132,2019-10-22,República,-235.436,-466.434,110456,6,42,55,17,37,41,31,37,REABASTECER
28,7685,2019-5-5,Higienópolis-Mackenzie,-235.488,-466.519,90727,52,19,24,12,33,21,33,26,NORMAL
29,7194,2019-12-24,República,-235.436,-466.434,110173,33,15,65,5,23,40,43,37,NORMAL
30,7230,2018-1-30,Higienópolis-Mackenzie,-235.488,-466.519,90127,55,21,60,33,16,23,14,43,NORMAL
31,16499,2019-10-29,Eucaliptos,-23.61,-466.686,23911,6,65,17,27,7,35,16,23,NORMAL
32,7316,2018-4-26,Higienópolis-Mackenzie,-235.488,-466.519,91194,48,65,10,14,9,43,31,39,NORMAL
33,7861,2019-11-1,Higienópolis-Mackenzie,-235.488,-466.519,90544,54,29,8,9,20,5,43,23,REABASTECER
34,7864,2019-11-4,Higienópolis-Mackenzie,-235.488,-466.519,90231,26,10,47,38,6,38,31,10,NORMAL
35,7933,2018-1-13,Faria Lima,-235.675,-466.929,52827,53,63,45,6,31,43,39,38,NORMAL
36,7949,2018-1-29,Faria Lima,-235.675,-466.929,54527,86,41,65,14,43,7,17,24,NORMAL
37,7449,2018-9-9,Higienópolis-Mackenzie,-235.488,-466.519,93237,36,30,65,35,32,42,35,19,NORMAL
38,7513,2018-11-13,Higienópolis-Mackenzie,-235.488,-466.519,91148,86,28,10,7,30,9,29,33,NORMAL
39,16730,2018-6-20,Moema,-235.489,-466.388,17240,67,36,32,40,41,3,34,5,REABASTECER
40,16753,2018-7-13,Moema,-235.489,-466.388,18170,16,47,29,8,27,23,18,5,REABASTECER
41,16763,2018-7-23,Moema,-235.489,-466.388,20401,86,63,23,25,31,39,23,43,NORMAL
42,7671,2019-4-21,Higienópolis-Mackenzie,-235.488,-466.519,93569,9,34,53,14,14,20,35,43,NORMAL
43,8279,2018-12-29,Faria Lima,-235.675,-466.929,52596,8,26,53,23,33,42,5,37,REABASTECER
44,7812,2019-9-12,Higienópolis-Mackenzie,-235.488,-466.519,89597,77,8,21,8,32,8,16,7,REABASTECER
45,8352,2019-3-12,Faria Lima,-235.675,-466.929,51288,74,50,65,17,43,43,23,10,NORMAL
46,32,2018-2-2,Paraíso,-2.357.677,-4.663.933,72022,44,30,47,10,37,11,18,12,NORMAL
47,7840,2019-10-10,Higienópolis-Mackenzie,-235.488,-466.519,90780,86,9,25,32,19,21,43,26,NORMAL
48,65,2018-3-5,Paraíso,-2.357.677,-4.663.933,70200,59,12,65,9,38,7,43,15,NORMAL
49,98,2018-4-8,Paraíso,-2.357.677,-4.663.933,73808,86,65,42,5,22,26,34,43,NORMAL
50,7911,2019-12-21,Higienópolis-Mackenzie,-235.488,-466.519,93316,3,65,58,12,35,18,11,28,NORMAL
51,7916,2019-12-26,Higienópolis-Mackenzie,-235.488,-466.519,93264,39,45,24,42,15,43,32,9,NORMAL
52,8447,2019-6-17,Faria Lima,-235.675,-466.929,54798,39,12,21,25,12,4,43,16,NORMAL
53,8468,2019-7-8,Faria Lima,-235.675,-466.929,54969,17,32,50,13,5,22,9,17,NORMAL
54,8036,2018-4-26,Faria Lima,-235.675,-466.929,52077,86,65,51,43,11,7,10,17,NORMAL
55,271,2018-10-1,Paraíso,-2.357.677,-4.663.933,71430,10,54,35,26,15,12,41,28,REABASTECER
56,291,2018-10-21,Paraíso,-2.357.677,-4.663.933,70469,63,23,29,43,16,43,6,32,REABASTECER
57,309,2018-11-9,Paraíso,-2.357.677,-4.663.933,73508,61,31,37,14,28,38,20,38,NORMAL
58,8153,2018-8-23,Faria Lima,-235.675,-466.929,53893,16,52,17,19,22,16,2,21,REABASTECER
59,362,2019-1-2,Paraíso,-2.357.677,-4.663.933,73614,66,42,59,17,40,40,28,40,NORMAL
60,375,2019-1-15,Paraíso,-2.357.677,-4.663.933,71279,25,26,39,24,33,42,14,34,NORMAL
61,8727,2018-3-27,Pinheiros,-235.664,-46.703,79486,5,58,65,28,5,4,25,18,REABASTECER
62,8766,2018-5-6,Pinheiros,-235.664,-46.703,78347,52,28,51,16,11,32,43,38,NORMAL
63,8775,2018-5-15,Pinheiros,-235.664,-46.703,76793,62,53,65,36,10,4,5,4,REABASTECER
64,8783,2018-5-23,Pinheiros,-235.664,-46.703,78183,67,56,3,16,18,17,22,11,NORMAL
65,8796,2018-6-6,Pinheiros,-235.664,-46.703,76819,38,36,49,17,12,25,15,41,NORMAL
66,8273,2018-12-23,Faria Lima,-235.675,-466.929,52061,61,65,30,9,18,11,29,14,NORMAL
67,8819,2018-6-29,Pinheiros,-235.664,-46.703,76863,74,24,21,9,13,6,12,33,REABASTECER
68,548,2019-7-8,Paraíso,-2.357.677,-4.663.933,70770,77,25,29,5,7,34,30,16,NORMAL
69,564,2019-7-24,Paraíso,-2.357.677,-4.663.933,72647,9,65,50,43,33,10,17,38,NORMAL
70,8393,2019-4-23,Faria Lima,-235.675,-466.929,54419,39,65,28,8,7,43,39,19,NORMAL
71,708,2019-12-18,Paraíso,-2.357.677,-4.663.933,73798,55,52,19,21,22,30,36,12,NORMAL
72,746,2018-1-26,Brigadeiro,-235.683,-466.482,47232,15,40,12,40,29,39,25,32,NORMAL
73,9136,2019-5-16,Pinheiros,-235.664,-46.703,78519,54,27,3,15,43,24,43,41,REABASTECER
74,8704,2018-3-4,Pinheiros,-235.664,-46.703,76875,55,12,22,12,12,29,35,19,NORMAL
75,9240,2019-8-30,Pinheiros,-235.664,-46.703,79546,86,48,6,34,6,40,21,17,REABASTECER
76,897,2018-6-27,Brigadeiro,-235.683,-466.482,48809,79,61,40,43,30,25,18,37,NORMAL
77,9318,2019-11-18,Pinheiros,-235.664,-46.703,79058,69,20,65,31,20,26,19,35,NORMAL
78,8833,2018-7-13,Pinheiros,-235.664,-46.703,77912,19,65,3,4,8,6,43,21,REABASTECER
79,1065,2018-12-15,Brigadeiro,-235.683,-466.482,48438,32,29,8,28,22,38,15,9,NORMAL
80,9439,2018-3-19,Butantã,-235.844,-467.252,65563,2,55,48,35,43,26,26,28,REABASTECER
81,8906,2018-9-26,Pinheiros,-235.664,-46.703,78632,74,6,57,34,19,23,21,25,REABASTECER
82,1106,2019-1-26,Brigadeiro,-235.683,-466.482,48681,62,48,51,31,43,30,28,20,NORMAL
83,9491,2018-5-11,Butantã,-235.844,-467.252,65829,29,50,56,4,43,16,43,32,REABASTECER
84,9500,2018-5-20,Butantã,-235.844,-467.252,64142,28,65,60,17,2,25,6,40,REABASTECER
85,9517,2018-6-7,Butantã,-235.844,-467.252,67535,35,18,65,10,25,7,18,13,NORMAL
86,1203,2019-5-3,Brigadeiro,-235.683,-466.482,49781,62,65,25,11,29,17,28,23,NORMAL
87,1217,2019-5-17,Brigadeiro,-235.683,-466.482,47975,6,57,50,8,16,4,12,10,REABASTECER
88,9064,2019-3-4,Pinheiros,-235.664,-46.703,78702,75,35,4,25,32,37,28,26,REABASTECER
89,9656,2018-10-26,Butantã,-235.844,-467.252,64284,8,65,51,22,33,10,28,32,NORMAL
90,9128,2019-5-8,Pinheiros,-235.664,-46.703,76116,46,65,65,43,33,39,37,27,NORMAL
91,9715,2018-12-25,Butantã,-235.844,-467.252,65834,48,22,28,24,7,27,41,8,NORMAL
92,1366,2019-10-16,Brigadeiro,-235.683,-466.482,47229,24,38,9,43,16,24,36,11,REABASTECER
93,9200,2019-7-20,Pinheiros,-235.664,-46.703,78031,22,41,25,29,33,16,43,4,NORMAL
94,1408,2019-11-28,Brigadeiro,-235.683,-466.482,46601,53,48,20,10,35,32,38,37,NORMAL
95,9259,2019-9-19,Pinheiros,-235.664,-46.703,78806,3,54,16,11,16,19,35,31,REABASTECER
96,1446,2018-1-6,Trianon-Masp,-235.634,-466.544,45392,41,32,24,26,24,36,21,21,NORMAL
97,9864,2019-5-24,Butantã,-235.844,-467.252,64773,86,51,45,13,6,5,22,6,REABASTECER
98,9335,2019-12-5,Pinheiros,-235.664,-46.703,79561,74,56,10,27,39,43,32,43,NORMAL
99,9882,2019-6-12,Butantã,-235.844,-467.252,65512,86,56,49,31,15,31,41,16,NORMAL
100,9369,2018-1-9,Butantã,-235.844,-467.252,64529,86,10,4,22,10,31,8,11,REABASTECER
101,9927,2019-7-27,Butantã,-235.844,-467.252,65881,86,48,55,27,43,24,31,15,NORMAL
102,9404,2018-2-14,Butantã,-235.844,-467.252,67154,16,65,28,43,19,18,9,41,NORMAL
103,9949,2019-8-19,Butantã,-235.844,-467.252,67978,43,65,40,14,35,20,25,7,NORMAL
104,9960,2019-8-30,Butantã,-235.844,-467.252,66320,17,56,34,25,34,34,24,8,NORMAL
105,9436,2018-3-16,Butantã,-235.844,-467.252,67538,37,3,65,39,14,30,35,38,REABASTECER
106,9542,2018-7-2,Butantã,-235.844,-467.252,67639,50,58,31,12,14,11,38,35,NORMAL
107,9558,2018-7-18,Butantã,-235.844,-467.252,65475,73,31,65,37,32,14,21,22,NORMAL
108,1727,2018-10-17,Trianon-Masp,-235.634,-466.544,45375,50,38,33,5,19,42,38,28,REABASTECER
109,10150,2018-3-10,Fradique Coutinho,-235.661,-466.841,34440,19,19,34,30,20,21,17,40,NORMAL
110,1856,2019-2-26,Trianon-Masp,-235.634,-466.544,44840,74,6,65,9,7,39,26,18,REABASTECER
111,9705,2018-12-15,Butantã,-235.844,-467.252,64021,61,16,40,15,4,17,38,12,NORMAL
112,10276,2018-7-16,Fradique Coutinho,-235.661,-466.841,33772,86,58,25,24,24,9,43,18,NORMAL
113,9761,2019-2-11,Butantã,-235.844,-467.252,64341,20,22,45,12,34,28,10,31,NORMAL
114,9764,2019-2-14,Butantã,-235.844,-467.252,65266,78,0,28,43,19,19,43,19,REABASTECER
115,10336,2018-9-16,Fradique Coutinho,-235.661,-466.841,36797,32,53,10,13,38,35,8,43,NORMAL
116,9826,2019-4-16,Butantã,-235.844,-467.252,64329,14,34,65,34,18,14,12,33,NORMAL
117,9856,2019-5-16,Butantã,-235.844,-467.252,64755,76,27,38,31,33,26,8,43,NORMAL
118,9858,2019-5-18,Butantã,-235.844,-467.252,67458,58,12,19,22,29,18,43,35,NORMAL
119,9912,2019-7-12,Butantã,-235.844,-467.252,65826,55,5,42,41,15,32,5,33,NORMAL
120,2068,2019-9-28,Trianon-Masp,-235.634,-466.544,42183,4,25,30,6,38,23,34,37,REABASTECER
121,10458,2019-1-18,Fradique Coutinho,-235.661,-466.841,35588,18,36,65,33,29,19,41,26,NORMAL
122,2081,2019-10-11,Trianon-Masp,-235.634,-466.544,44727,48,5,65,43,31,22,26,19,NORMAL
123,10499,2019-2-29,Fradique Coutinho,-235.661,-466.841,34143,39,50,33,21,36,25,5,37,REABASTECER
124,2128,2019-11-28,Trianon-Masp,-235.634,-466.544,45049,45,18,8,10,19,43,43,38,REABASTECER
125,2197,2018-2-7,Consolação,-235.581,-466.606,114558,86,24,1,32,31,25,11,34,REABASTECER
126,10055,2019-12-5,Butantã,-235.844,-467.252,66914,46,31,32,21,26,14,27,43,NORMAL
127,10070,2019-12-20,Butantã,-235.844,-467.252,65961,76,4,3,14,8,31,4,18,NORMAL
128,2267,2018-4-17,Consolação,-235.581,-466.606,113766,71,48,65,13,43,10,30,26,NORMAL
129,10670,2019-8-20,Fradique Coutinho,-235.661,-466.841,33658,2,17,25,39,11,15,38,43,REABASTECER
130,10129,2018-2-19,Fradique Coutinho,-235.661,-466.841,33055,51,30,60,15,20,36,19,34,NORMAL
131,10746,2019-11-6,Fradique Coutinho,-235.661,-466.841,35992,28,54,21,28,16,4,14,16,REABASTECER
132,10201,2018-5-1,Fradique Coutinho,-235.661,-466.841,36043,23,26,15,36,24,30,36,35,NORMAL
133,2380,2018-8-10,Consolação,-235.581,-466.606,114452,79,62,48,9,41,26,10,16,NORMAL
134,2425,2018-9-25,Consolação,-235.581,-466.606,114275,86,51,46,38,38,18,2,36,REABASTECER
135,10315,2018-8-25,Fradique Coutinho,-235.661,-466.841,36525,55,43,22,26,33,43,14,36,NORMAL
136,10881,2018-3-21,Luz,-235.365,-466.332,125195,65,21,36,25,43,34,19,24,NORMAL
137,10943,2018-5-23,Luz,-235.365,-466.332,124769,48,50,65,41,21,35,30,27,NORMAL
138,2579,2019-2-29,Consolação,-235.581,-466.606,114516,60,26,60,27,16,31,24,36,NORMAL
139,2587,2019-3-7,Consolação,-235.581,-466.606,114865,65,37,2,43,28,14,32,43,REABASTECER
140,10441,2019-1-1,Fradique Coutinho,-235.661,-466.841,33610,29,60,57,41,9,32,21,11,NORMAL
141,2616,2019-4-6,Consolação,-235.581,-466.606,114346,49,65,8,37,9,7,43,11,REABASTECER
142,11036,2018-8-26,Luz,-235.365,-466.332,124504,6,19,18,43,36,36,27,24,REABASTECER
143,11039,2018-8-29,Luz,-235.365,-466.332,127265,66,1,65,32,28,30,12,13,REABASTECER
144,2687,2019-6-17,Consolação,-235.581,-466.606,114391,28,25,17,6,16,31,5,31,REABASTECER
145,11192,2019-2-2,Luz,-235.365,-466.332,126408,20,32,48,37,23,15,12,12,NORMAL
146,2812,2019-10-22,Consolação,-235.581,-466.606,114604,11,65,16,38,8,13,32,25,REABASTECER
147,2820,2019-10-30,Consolação,-235.581,-466.606,113621,86,13,24,7,21,24,38,32,NORMAL
148,2856,2019-12-6,Consolação,-235.581,-466.606,114038,86,60,49,34,9,23,32,22,NORMAL
149,10779,2019-12-9,Fradique Coutinho,-235.661,-466.841,33595,45,40,3,8,22,28,14,6,REABASTECER
150,11369,2019-7-29,Luz,-235.365,-466.332,124178,39,24,50,30,9,17,32,11,NORMAL
151,2987,2018-4-17,Tamanduateí,-235.929,-465.897,50528,33,26,60,39,9,10,28,43,NORMAL
152,2991,2018-4-21,Tamanduateí,-235.929,-465.897,52139,86,2,32,31,32,37,11,29,NORMAL
153,10869,2018-3-9,Luz,-235.365,-466.332,126168,16,36,49,19,5,32,26,23,REABASTECER
154,3079,2018-7-19,Tamanduateí,-235.929,-465.897,49734,86,31,14,23,12,30,15,21,NORMAL
155,3102,2018-8-12,Tamanduateí,-235.929,-465.897,50653,13,63,46,37,36,5,3,18,REABASTECER
156,10982,2018-7-2,Luz,-235.365,-466.332,124529,12,32,47,5,21,14,12,38,REABASTECER
157,11556,2018-2-6,Ana Rosa,-235.813,-466.383,67110,7,52,19,21,25,18,22,41,REABASTECER
158,3191,2018-11-11,Tamanduateí,-235.929,-465.897,51168,1,30,65,18,20,22,29,18,REABASTECER
159,11057,2018-9-17,Luz,-235.365,-466.332,125523,49,65,65,23,38,14,18,22,NORMAL
160,11118,2018-11-18,Luz,-235.365,-466.332,125218,53,46,43,7,3,9,31,30,REABASTECER
161,3378,2019-5-18,Tamanduateí,-235.929,-465.897,49471,53,19,41,3,8,12,3,21,REABASTECER
162,11256,2019-4-6,Luz,-235.365,-466.332,126783,1,27,65,35,22,35,22,12,REABASTECER
163,11815,2018-10-25,Ana Rosa,-235.813,-466.383,66637,30,47,49,17,19,43,15,34,NORMAL
164,3430,2019-7-10,Tamanduateí,-235.929,-465.897,51524,67,43,65,27,17,14,6,37,REABASTECER
165,3451,2019-8-1,Tamanduateí,-235.929,-465.897,50677,29,36,44,41,27,42,9,38,NORMAL
166,3475,2019-8-25,Tamanduateí,-235.929,-465.897,52969,71,21,10,40,7,27,2,24,REABASTECER
167,3488,2019-9-8,Tamanduateí,-235.929,-465.897,52481,31,58,57,19,33,31,43,13,NORMAL
168,3572,2019-12-2,Tamanduateí,-235.929,-465.897,51208,56,34,52,40,30,40,20,11,NORMAL
169,3679,2018-3-19,Sé,-23.55,-466.333,194569,86,54,65,10,43,31,38,34,NORMAL
170,12111,2019-8-21,Ana Rosa,-235.813,-466.383,64094,12,65,55,19,26,39,14,37,REABASTECER
171,3715,2018-4-25,Sé,-23.55,-466.333,195177,15,50,3,32,32,41,23,16,REABASTECER
172,12142,2019-9-22,Ana Rosa,-235.813,-466.383,65030,77,21,19,23,27,35,15,31,NORMAL
173,11607,2018-3-27,Ana Rosa,-235.813,-466.383,64139,31,37,58,1,19,21,34,6,REABASTECER
174,3775,2018-6-25,Sé,-23.55,-466.333,194627,40,20,13,23,4,14,12,40,NORMAL
175,11641,2018-5-1,Ana Rosa,-235.813,-466.383,65802,42,42,36,30,43,2,32,43,REABASTECER
176,12192,2019-11-12,Ana Rosa,-235.813,-466.383,66079,42,24,31,38,43,7,21,29,NORMAL
177,11723,2018-7-23,Ana Rosa,-235.813,-466.383,67325,18,11,45,11,9,11,43,23,NORMAL
178,3864,2018-9-24,Sé,-23.55,-466.333,192717,34,13,52,34,2,9,16,3,NORMAL
179,3866,2018-9-26,Sé,-23.55,-466.333,193579,17,65,36,25,37,43,8,40,NORMAL
180,11753,2018-8-23,Ana Rosa,-235.813,-466.383,65600,73,19,58,12,24,19,43,27,NORMAL
181,12310,2018-3-10,São Joaquim,-235.618,-466.389,33421,30,24,28,19,24,36,19,38,NORMAL
182,11787,2018-9-27,Ana Rosa,-235.813,-466.383,65675,14,8,8,10,12,27,38,17,REABASTECER
183,3986,2019-1-26,Sé,-23.55,-466.333,191622,14,37,59,17,12,43,22,41,NORMAL
184,4061,2019-4-11,Sé,-23.55,-466.333,193321,73,50,8,26,33,35,29,30,REABASTECER
185,12503,2018-9-23,São Joaquim,-235.618,-466.389,35906,86,57,47,10,33,8,8,11,NORMAL
186,4164,2019-7-24,Sé,-23.55,-466.333,193062,86,31,33,2,43,6,29,38,REABASTECER
187,4176,2019-8-6,Sé,-23.55,-466.333,192268,58,14,24,2,34,9,20,31,REABASTECER
188,12648,2019-2-18,São Joaquim,-235.618,-466.389,34579,26,7,43,9,24,14,31,43,REABASTECER
189,12110,2019-8-20,Ana Rosa,-235.813,-466.383,64467,24,3,60,21,29,40,16,43,REABASTECER
190,12704,2019-4-14,São Joaquim,-235.618,-466.389,34003,65,49,29,21,5,32,7,35,REABASTECER
191,12720,2019-4-30,São Joaquim,-235.618,-466.389,34725,86,36,42,20,35,23,29,32,NORMAL
192,4345,2018-1-25,Brás,-235.451,-466.162,72681,11,65,27,8,35,8,25,28,REABASTECER
193,4401,2018-3-21,Brás,-235.451,-466.162,74493,55,65,41,5,29,9,23,11,NORMAL
194,12816,2019-8-6,São Joaquim,-235.618,-466.389,33150,29,45,11,22,40,23,20,41,NORMAL
195,12835,2019-8-25,São Joaquim,-235.618,-466.389,35422,19,57,5,35,14,12,33,5,NORMAL
196,12842,2019-9-2,São Joaquim,-235.618,-466.389,35491,41,16,22,14,23,32,3,19,NORMAL
197,12892,2019-10-22,São Joaquim,-235.618,-466.389,33983,86,25,43,20,18,22,7,13,NORMAL
198,4513,2018-7-13,Brás,-235.451,-466.162,71736,27,16,65,35,22,17,29,21,NORMAL
199,12972,2018-1-12,São Judas,-236.255,-466.411,17547,86,7,60,14,43,43,38,37,REABASTECER
200,4567,2018-9-7,Brás,-235.451,-466.162,71017,2,27,49,13,19,23,36,3,NORMAL
201,4615,2018-10-25,Brás,-235.451,-466.162,71470,50,16,58,33,36,34,6,10,NORMAL
202,4616,2018-10-26,Brás,-235.451,-466.162,74325,37,11,54,31,30,28,43,4,NORMAL
203,4649,2018-11-29,Brás,-235.451,-466.162,71684,52,65,26,39,9,14,43,5,NORMAL
204,13121,2018-6-11,São Judas,-236.255,-466.411,14796,14,16,16,14,3,35,33,18,REABASTECER
205,4711,2019-2-1,Brás,-235.451,-466.162,70965,38,8,52,15,17,21,37,15,REABASTECER
206,12598,2018-12-28,São Joaquim,-235.618,-466.389,36118,78,56,65,43,17,32,4,12,REABASTECER
207,4766,2019-3-26,Brás,-235.451,-466.162,72511,19,3,8,27,12,24,35,28,REABASTECER
208,12670,2019-3-10,São Joaquim,-235.618,-466.389,34376,58,65,20,37,18,31,18,6,REABASTECER
209,4820,2019-5-20,Brás,-235.451,-466.162,73547,86,26,20,30,35,24,15,27,NORMAL
210,13264,2018-11-4,São Judas,-236.255,-466.411,16655,79,51,18,33,8,43,33,43,NORMAL
211,12705,2019-4-15,São Joaquim,-235.618,-466.389,32901,54,42,20,19,43,29,4,30,REABASTECER
212,13310,2018-12-20,São Judas,-236.255,-466.411,15414,77,16,19,39,28,14,15,25,NORMAL
213,12806,2019-7-26,São Joaquim,-235.618,-466.389,34765,38,38,20,43,41,11,16,37,NORMAL
214,4960,2019-10-10,Brás,-235.451,-466.162,72802,64,40,33,15,25,12,14,5,NORMAL
215,13456,2019-5-16,São Judas,-236.255,-466.411,15176,53,52,15,29,12,10,19,5,REABASTECER
216,5035,2019-12-25,Brás,-235.451,-466.162,72855,25,30,11,13,43,13,31,33,NORMAL
217,13596,2019-10-6,São Judas,-236.255,-466.411,14656,44,58,40,25,29,39,28,30,NORMAL
218,13043,2018-3-23,São Judas,-236.255,-466.411,14626,67,45,48,35,7,37,40,34,NORMAL
219,5205,2018-6-15,Barra Funda,-235.542,-466.707,149367,2,60,35,43,21,20,30,24,REABASTECER
220,13726,2018-2-16,Vila Mariana,-235.895,-466.346,22468,86,57,12,34,8,43,38,29,NORMAL
221,13242,2018-10-12,São Judas,-236.255,-466.411,13643,35,46,33,16,8,28,35,43,NORMAL
222,13265,2018-11-5,São Judas,-236.255,-466.411,15735,72,41,8,30,5,39,29,40,REABASTECER
223,5398,2018-12-28,Barra Funda,-235.542,-466.707,148768,34,28,48,37,19,12,21,19,NORMAL
224,13301,2018-12-11,São Judas,-236.255,-466.411,16401,78,16,19,34,19,38,11,16,NORMAL
225,5433,2019-2-3,Barra Funda,-235.542,-466.707,149492,65,22,54,23,33,34,2,11,NORMAL
226,5473,2019-3-13,Barra Funda,-235.542,-466.707,148489,32,45,42,26,4,42,43,7,REABASTECER
227,14013,2018-12-3,Vila Mariana,-235.895,-466.346,23444,57,65,14,24,18,28,11,34,NORMAL
228,14019,2018-12-9,Vila Mariana,-235.895,-466.346,22896,86,26,37,14,37,10,32,17,NORMAL
229,13471,2019-6-1,São Judas,-236.255,-466.411,15234,63,29,55,29,31,43,7,25,NORMAL
230,13522,2019-7-22,São Judas,-236.255,-466.411,17227,78,47,40,43,30,16,25,21,NORMAL
231,14153,2019-4-23,Vila Mariana,-235.895,-466.346,21783,86,20,42,12,17,43,7,43,NORMAL
232,14159,2019-4-29,Vila Mariana,-235.895,-466.346,24885,21,43,56,27,33,23,29,20,NORMAL
233,5717,2019-11-17,Barra Funda,-235.542,-466.707,149250,56,11,55,14,38,21,25,9,NORMAL
234,5772,2018-1-12,Tatuapé,-235.402,-465.765,70919,65,55,55,22,37,9,43,4,NORMAL
235,13682,2018-1-2,Vila Mariana,-235.895,-466.346,21306,78,55,60,39,38,37,39,41,NORMAL
236,14239,2019-7-19,Vila Mariana,-235.895,-466.346,24043,34,47,18,10,15,34,12,19,NORMAL
237,14249,2019-7-29,Vila Mariana,-235.895,-466.346,23199,27,42,7,27,18,7,22,21,NORMAL
238,5824,2018-3-4,Tatuapé,-235.402,-465.765,68185,55,65,65,41,10,21,43,4,NORMAL
239,5883,2018-5-3,Tatuapé,-235.402,-465.765,68301,16,12,56,5,16,23,5,15,NORMAL
240,14341,2019-11-1,Vila Mariana,-235.895,-466.346,24675,56,23,55,7,11,8,20,43,NORMAL
241,14389,2019-12-19,Vila Mariana,-235.895,-466.346,21633,13,6,55,30,24,32,36,39,NORMAL
242,5938,2018-6-28,Tatuapé,-235.402,-465.765,69323,86,27,37,32,3,32,8,27,REABASTECER
243,5947,2018-7-7,Tatuapé,-235.402,-465.765,69673,86,24,33,43,8,6,16,31,NORMAL
244,14401,2018-1-1,Brooklin,-236.263,-466.878,28623,86,65,65,43,43,43,43,43,NORMAL
245,14473,2018-3-13,Brooklin,-236.263,-466.878,26887,77,65,14,6,22,34,34,16,NORMAL
246,13946,2018-9-26,Vila Mariana,-235.895,-466.346,21205,20,11,24,4,30,15,28,4,REABASTECER
247,6065,2018-11-5,Tatuapé,-235.402,-465.765,68224,78,44,65,10,37,14,4,29,NORMAL
248,14007,2018-11-27,Vila Mariana,-235.895,-466.346,21717,30,47,56,4,43,7,39,13,NORMAL
249,14025,2018-12-15,Vila Mariana,-235.895,-466.346,23480,28,54,65,43,10,30,9,33,NORMAL
250,14593,2018-7-13,Brooklin,-236.263,-466.878,26761,54,49,8,43,20,29,38,12,REABASTECER
251,14597,2018-7-17,Brooklin,-236.263,-466.878,30016,11,22,43,22,5,22,21,40,REABASTECER
252,14058,2019-1-18,Vila Mariana,-235.895,-466.346,22308,53,47,38,40,15,9,7,36,NORMAL
253,6140,2019-1-20,Tatuapé,-235.402,-465.765,67758,47,40,6,25,37,28,9,1,NORMAL
254,14679,2018-10-9,Brooklin,-236.263,-466.878,26889,75,38,50,35,19,27,38,12,NORMAL
